Momo Mo Han,김다연,-,Shanghai Star48 Culture Media Group</br>SNH48,D,2003,e,26
Song Xinran,박찬주,-,Shanghai Star48 Culture Media Group</br>SNH48,D,1999,e,55
Three Sun Rui,田中美久,타나카 미쿠,Shanghai Star48 Culture Media Group</br>SNH48,F,2001,e,43
Fei Qinyuan,加藤夕夏,카토 유우카,Shanghai Star48 Culture Media Group</br>SNH48,C,1997,e,60
Air Su Shanshan,조영인,-,Shanghai Star48 Culture Media Group</br>SNH48,F,2001,e,84
Anne Hu Xinyin,강다민,-,Shangyue Culture</br>AKB48 Team SH,C,2004,e,83
Kuliko Shen Ying,永野芹佳,나가노 세리카,Shangyue Culture</br>AKB48 Team SH,D,2001,e,13
Babymonster An Qi,篠崎彩奈,시노자키 아야나,Star Master Entertainment,A,1996,e,18
Verlina Mo Yao,김다혜,-,Star Master Entertainment,D,2002,e,22
Frhanm Shangguan Xiai,박지은,-,Star Master Entertainment,A,1997,e,69
Shirley Wen Zhe,홍예지,-,Star Master Entertainment,D,2002,e,25
Jane Wang Siyu,栗原紗英,쿠리하라 사에,Shinning Star Culture,D,1996,e,38
Vicky Wei Chen,内木志,나이키 코코로,Shinning Star Culture,B,1997,e,62
Lil Reta Fu Jia,浅井裕華,아사이 유우카,Yizong Cultural,F,2003,e,70
Jessie Fu Yaning,안예원,-,Gramarie Entertainment,D,2001,e,91
Gia Ge Xinyi,알렉스 크리스틴,-,Gramarie Entertainment,B,1996,e,96
Dolly Zhang Luofei,조아영,-,Gramarie Entertainment,D,2001,e,34
Marco Lin Fan,市川愛美,이치카와 마나미,TOV Entertainment,C,1999,e,7
K Lu Keran,조가현,-,TOV Entertainment,C,2003,e,73
Hazel Chen Yiwen,최소은,-,TOV Entertainment,C,2001,e,79
Ju Chen Pinxuan,원서연,-,TPG Culture,C,2000,e,53
Sharon Wang Chengxuan,조사랑,-,TPG Culture,A,2003,e,51
Sheen Wang Xinming,이채정,-,TPG Culture,D,1999,e,54
Theia Zheng Yuxin,김유빈,-,TPG Culture,A,2002,e,27
NINEONE Nai Wan,月足天音,츠키아시 아마네,WR / OC,C,1999,e,44
Vivi Chen Xinwei,植村梓,우에무라 아즈사,Yuehua Entertainment,F,1999,e,64
Aria Jin Zihan,梅山恋和),우메야마 코코나,Yuehua Entertainment,C,2003,e,65
Kay Song Zhaoyi,,,Yuehua Entertainment,B,,e,96
Thea Xi Ya,,,Yuehua Entertainment,F,,e,98
Ree Ai Yiyi,,,Yuehua Entertainment,D,,e,97
Esther Yu Shuxin,,,Huace Pictures,D,,e,99
Kiki Xu Jiaqi,,,Shanghai Star48 Culture Media Group SNH48_7SENSES,B,,e,100
Diamond Dai Meng,,,Shanghai Star48 Culture Media Group SNH48_7SENSES,C,,e,101
Tako Zhang Yuge,,,Shanghai Star48 Culture Media Group SNH48_7SENSES,C,,e,102
Eliwa Xuyang Yuzhuo,,,Shanghai Star48 Culture Media Group SNH48_7SENSES,B,,e,103
Han Dong,,,Show City Times,D,,e,104
BeeBee Huang Xiaoyun,,,Show City Times,D,,e,105
Wei Shuyu,,,Show City Times,F,,e,106
Xu Xinwen,,,Show City Times,B,,e,107
Bobo Li Xining,,,Happy Jump Culture,F,,e,108
